pokedex_id,pokemon_name,primary_type,secondary_type,hp,attack,defense,sp_attack,sp_defense,speed,sprite_url,generation,is_legendary
16,Pokemon_16,Psychic,,52,64,82,31,88,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,8,false
17,Pokemon_17,Ghost,,31,49,56,130,86,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,8,false
18,Pokemon_18,Dark,Grass,46,79,114,106,134,114,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,5,false
19,Pokemon_19,Normal,Ground,94,100,43,89,39,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,4,false
20,Pokemon_20,Normal,,92,65,110,66,46,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,6,false
21,Pokemon_21,Steel,,95,52,135,138,68,147,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,3,false
22,Pokemon_22,Dark,,142,78,150,116,78,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,3,false
23,Pokemon_23,Dragon,,131,42,147,123,96,135,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,7,false
24,Pokemon_24,Fighting,,67,111,124,111,39,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,4,false
25,Pokemon_25,Psychic,,118,79,125,103,102,109,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,4,false
26,Pokemon_26,Flying,,90,130,122,104,121,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,6,false
27,Pokemon_27,Grass,,118,40,87,110,86,133,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,7,false
28,Pokemon_28,Ghost,,82,87,134,97,71,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,3,false
29,Pokemon_29,Poison,,61,115,97,67,106,149,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,6,false
30,Pokemon_30,Ground,Fire,62,109,107,58,38,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,5,false
31,Pokemon_31,Fire,,146,87,110,38,144,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,4,false
32,Pokemon_32,Fighting,Ground,53,103,61,131,144,121,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,7,false
33,Pokemon_33,Fire,,101,32,108,135,123,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,1,false
34,Pokemon_34,Rock,,115,91,115,76,65,132,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,8,false
35,Pokemon_35,Ground,,108,136,54,77,71,141,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,2,false
36,Pokemon_36,Flying,,141,40,75,142,62,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,3,false
37,Pokemon_37,Flying,Ice,113,68,116,85,43,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,1,false
38,Pokemon_38,Grass,,70,125,120,66,146,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,7,false
39,Pokemon_39,Ground,Electric,40,64,70,125,80,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,8,false
40,Pokemon_40,Ice,,111,138,91,62,32,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,8,false
41,Pokemon_41,Ice,Water,33,115,93,124,81,119,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,1,false
42,Pokemon_42,Grass,,80,109,89,147,58,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,6,false
43,Pokemon_43,Steel,,135,74,143,124,86,102,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,4,false
44,Pokemon_44,Fighting,,136,60,54,108,137,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,9,false
45,Pokemon_45,Water,,108,106,138,54,127,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,4,false
46,Pokemon_46,Poison,,119,75,77,70,93,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,7,false
47,Pokemon_47,Bug,,83,39,102,71,51,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,6,false
48,Pokemon_48,Rock,Rock,55,110,41,42,87,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,8,false
49,Pokemon_49,Fire,,60,127,56,49,95,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,2,false
50,Pokemon_50,Rock,,102,112,52,69,41,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,7,false
51,Pokemon_51,Psychic,,73,82,66,114,38,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,7,false
52,Pokemon_52,Psychic,Rock,121,30,136,117,94,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,1,false
53,Pokemon_53,Bug,,42,46,67,113,41,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,3,false
54,Pokemon_54,Dark,,141,133,62,86,94,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,9,false
55,Pokemon_55,Ice,,60,150,38,108,117,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,5,false
56,Pokemon_56,Normal,,56,35,112,98,104,144,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,4,false
57,Pokemon_57,Ice,,134,144,72,116,65,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,2,false
58,Pokemon_58,Steel,Bug,39,122,86,62,70,134,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,6,false
59,Pokemon_59,Bug,Bug,125,85,131,129,130,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,5,false
60,Pokemon_60,Poison,,42,106,133,67,107,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,6,false
61,Pokemon_61,Fairy,,118,137,103,63,104,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,4,false
62,Pokemon_62,Psychic,,112,83,142,49,126,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,6,false
63,Pokemon_63,Ghost,Water,58,121,114,128,95,107,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,1,false
64,Pokemon_64,Ground,,62,102,30,110,138,102,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,6,false
65,Pokemon_65,Ice,,36,144,136,134,84,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,4,false
66,Pokemon_66,Water,Ice,43,86,86,99,95,119,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,8,false
67,Pokemon_67,Poison,,88,126,45,115,141,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,9,false
68,Pokemon_68,Normal,,41,147,147,45,66,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,8,false
69,Pokemon_69,Normal,Water,106,121,102,118,60,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,3,false
70,Pokemon_70,Steel,Fairy,94,139,130,149,80,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,1,false
71,Pokemon_71,Dragon,,73,34,89,136,46,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,4,false
72,Pokemon_72,Steel,Poison,87,142,89,94,74,107,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,4,false
73,Pokemon_73,Grass,,61,142,69,62,33,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,8,false
74,Pokemon_74,Bug,Ice,115,94,77,144,84,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,2,false
75,Pokemon_75,Water,,34,50,119,76,97,134,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,3,false
76,Pokemon_76,Ice,,39,52,106,138,68,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,3,false
77,Pokemon_77,Ghost,,64,43,87,81,126,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,1,false
78,Pokemon_78,Water,Bug,143,69,113,80,32,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,8,false
79,Pokemon_79,Grass,,44,130,52,56,72,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,3,false
80,Pokemon_80,Ice,Ground,132,51,94,67,127,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,7,false
81,Pokemon_81,Fairy,,95,54,95,88,62,118,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,1,false
82,Pokemon_82,Normal,,148,43,91,52,71,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,1,false
83,Pokemon_83,Flying,Steel,42,41,77,99,43,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,8,false
84,Pokemon_84,Water,,92,62,113,117,138,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,7,false
85,Pokemon_85,Fighting,Poison,34,63,54,44,38,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,3,false
86,Pokemon_86,Ghost,,86,137,54,101,43,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,6,false
87,Pokemon_87,Grass,,96,93,110,50,41,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,1,false
88,Pokemon_88,Bug,Normal,141,93,84,119,72,143,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,8,false
89,Pokemon_89,Fairy,,55,36,41,71,72,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,1,false
90,Pokemon_90,Normal,,109,39,123,36,75,94,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,7,false
91,Pokemon_91,Bug,,64,124,36,32,62,132,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,3,false
92,Pokemon_92,Ice,,30,57,142,94,92,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,4,false
93,Pokemon_93,Fire,,47,55,100,55,53,119,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,6,false
94,Pokemon_94,Bug,,75,114,91,99,72,106,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,2,false
95,Pokemon_95,Fire,,32,61,109,62,42,114,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,4,false
96,Pokemon_96,Flying,,85,94,53,130,50,137,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,1,false
97,Pokemon_97,Dark,,65,96,115,145,106,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,8,false
98,Pokemon_98,Water,,120,92,115,129,76,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,8,false
99,Pokemon_99,Dragon,Dragon,96,95,145,61,64,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,9,false
100,Pokemon_100,Normal,,34,90,87,117,44,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,8,false
101,Pokemon_101,Dark,,122,80,80,78,123,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,1,false
102,Pokemon_102,Fighting,,92,134,147,66,42,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,8,false
103,Pokemon_103,Ground,Poison,33,54,132,149,143,141,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,4,false
104,Pokemon_104,Ice,,135,88,135,149,118,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,2,false
105,Pokemon_105,Steel,,112,51,73,124,101,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,2,false
106,Pokemon_106,Ground,,80,54,49,63,99,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,2,false
107,Pokemon_107,Ground,,34,111,132,62,149,127,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,4,false
108,Pokemon_108,Grass,,62,57,145,138,82,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,2,false
109,Pokemon_109,Psychic,Fighting,79,114,48,75,83,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,4,false
110,Pokemon_110,Dark,,75,44,133,68,61,91,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,4,false
111,Pokemon_111,Flying,Fighting,46,137,85,138,113,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,1,false
112,Pokemon_112,Ice,Grass,78,30,128,129,106,132,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,7,false
113,Pokemon_113,Steel,,147,68,77,34,53,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,7,false
114,Pokemon_114,Steel,,64,126,133,149,53,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,1,false
115,Pokemon_115,Water,,129,71,99,115,62,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,6,false
116,Pokemon_116,Ground,,128,125,44,145,65,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,8,false
117,Pokemon_117,Poison,Ghost,65,95,144,59,30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,9,false
118,Pokemon_118,Ghost,,65,99,72,140,109,103,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,5,false
119,Pokemon_119,Ground,Fire,144,57,104,31,89,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,7,false
120,Pokemon_120,Steel,Grass,64,37,97,48,52,136,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,1,false
121,Pokemon_121,Flying,Psychic,103,110,33,127,71,107,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,2,false
122,Pokemon_122,Dark,Electric,53,145,117,72,77,134,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,9,false
123,Pokemon_123,Electric,Ice,119,98,135,37,95,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,4,true
124,Pokemon_124,Fighting,,41,133,149,73,150,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,8,false
125,Pokemon_125,Bug,,61,146,65,96,91,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,8,false
126,Pokemon_126,Ground,,105,59,97,150,132,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,3,false
127,Pokemon_127,Ground,Fairy,146,39,72,119,46,91,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,3,false
128,Pokemon_128,Ice,,127,47,84,103,98,135,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,3,false
129,Pokemon_129,Ghost,Poison,101,39,64,93,81,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,8,false
130,Pokemon_130,Dark,,86,71,87,37,54,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,2,true
131,Pokemon_131,Bug,Fire,40,114,54,50,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,3,false
132,Pokemon_132,Grass,,36,47,37,147,105,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,8,false
133,Pokemon_133,Poison,,39,78,34,52,144,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,6,false
134,Pokemon_134,Steel,Fairy,52,88,100,76,76,118,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,1,true
135,Pokemon_135,Ice,,31,63,124,76,145,102,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,3,false
136,Pokemon_136,Fire,,42,110,133,63,63,128,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,3,false
137,Pokemon_137,Steel,Grass,31,90,93,113,47,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,2,false
138,Pokemon_138,Dragon,,130,45,80,150,146,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,7,false
139,Pokemon_139,Bug,,73,130,120,56,146,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,6,false
140,Pokemon_140,Bug,,96,37,75,120,101,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,3,false
141,Pokemon_141,Flying,Normal,47,100,76,122,56,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,6,false
142,Pokemon_142,Fighting,,74,104,131,93,92,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,7,false
143,Pokemon_143,Normal,,58,115,140,41,86,144,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,4,false
144,Pokemon_144,Ice,,63,36,134,143,33,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,1,false
145,Pokemon_145,Water,,135,104,63,33,58,114,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,9,false
146,Pokemon_146,Electric,Steel,56,77,87,59,47,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,6,true
147,Pokemon_147,Ghost,,119,150,69,55,92,118,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,3,false
148,Pokemon_148,Ghost,Grass,124,150,35,144,75,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,9,false
149,Pokemon_149,Dark,,59,82,94,126,46,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,9,false
150,Pokemon_150,Ice,,131,107,58,70,119,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,6,false
151,Pokemon_151,Flying,,95,70,93,65,64,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,1,false
152,Pokemon_152,Ice,Normal,36,84,36,145,141,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,9,true
153,Pokemon_153,Poison,,60,99,58,72,68,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,6,false
154,Pokemon_154,Fairy,,50,133,47,142,59,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,8,false
155,Pokemon_155,Dragon,Steel,55,42,89,54,96,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,8,false
156,Pokemon_156,Flying,Rock,119,148,39,131,54,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,2,false
157,Pokemon_157,Flying,,147,79,42,43,30,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,8,false
158,Pokemon_158,Electric,,62,109,60,58,149,138,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,6,false
159,Pokemon_159,Poison,,136,111,92,56,59,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,4,false
160,Pokemon_160,Fire,,144,97,44,112,97,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,1,false
161,Pokemon_161,Ice,Grass,142,148,101,62,68,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,2,false
162,Pokemon_162,Fairy,,67,117,144,101,132,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,3,false
163,Pokemon_163,Poison,,30,32,122,134,36,137,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,1,false
164,Pokemon_164,Fairy,Ground,38,143,87,112,134,133,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,8,false
165,Pokemon_165,Ground,,85,114,57,86,99,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,6,false
166,Pokemon_166,Dark,,122,91,74,76,32,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,5,false
167,Pokemon_167,Fighting,,126,96,138,123,41,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,2,false
168,Pokemon_168,Flying,,94,56,102,73,84,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,2,false
169,Pokemon_169,Normal,Electric,105,74,121,138,59,146,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,9,false
170,Pokemon_170,Electric,Ice,119,107,72,69,102,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,5,false
171,Pokemon_171,Ground,,76,84,124,89,101,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,6,false
172,Pokemon_172,Fairy,Grass,97,71,76,35,68,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,3,false
173,Pokemon_173,Steel,,87,150,120,87,149,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,9,false
174,Pokemon_174,Psychic,,125,45,52,78,117,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,1,false
175,Pokemon_175,Steel,,102,148,109,126,32,139,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,6,false
176,Pokemon_176,Rock,,136,72,88,148,86,143,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,6,false
177,Pokemon_177,Bug,,74,127,51,85,146,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,6,false
178,Pokemon_178,Flying,Ghost,96,81,101,46,115,109,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,2,false
179,Pokemon_179,Fire,,31,145,120,74,122,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,4,false
180,Pokemon_180,Poison,,46,135,81,110,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,3,false
181,Pokemon_181,Poison,Fire,67,58,36,32,112,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,5,false
182,Pokemon_182,Flying,,67,131,110,110,59,94,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,3,false
183,Pokemon_183,Rock,,107,142,131,63,105,38,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,5,false
184,Pokemon_184,Ghost,,143,116,112,51,96,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,5,false
185,Pokemon_185,Bug,Fairy,57,120,65,43,133,121,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,6,false
186,Pokemon_186,Ice,,110,107,34,130,125,121,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,3,false
187,Pokemon_187,Ice,,127,148,112,82,44,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,9,false
188,Pokemon_188,Fire,,114,125,99,49,98,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,7,false
189,Pokemon_189,Fairy,Steel,32,105,122,83,57,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,1,false
190,Pokemon_190,Rock,,122,100,63,111,38,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,6,false
191,Pokemon_191,Dragon,,37,70,94,100,136,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,9,false
192,Pokemon_192,Grass,Psychic,40,56,146,73,43,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,4,true
