id,name,sprite,types,hp,attack,defense,specialAttack,specialDefense,speed,height,weight,abilities,thunder,thunder2,some
31,Nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,"poison, ground",90,92,87,75,85,76,13,600,"poison-point, rivalry, sheer-force",,,0
32,Nidoran-m,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,poison,46,57,40,40,40,50,5,90,"poison-point, rivalry, hustle",,,0
33,Nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,poison,61,72,57,55,55,65,9,195,"poison-point, rivalry, hustle",,,0
34,Nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,"poison, ground",81,102,77,85,75,85,14,620,"poison-point, rivalry, sheer-force",,,0
35,Clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,fairy,70,45,48,60,65,35,6,75,"cute-charm, magic-guard, friend-guard",,,0
36,Clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,fairy,95,70,73,95,90,60,13,400,"cute-charm, magic-guard, unaware",,,0
37,Vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,fire,38,41,40,50,65,65,6,99,"flash-fire, drought",,,0
38,Ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,fire,73,76,75,81,100,100,11,199,"flash-fire, drought",,,0
39,Jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,"normal, fairy",115,45,20,45,25,20,5,55,"cute-charm, competitive, friend-guard",,,0
40,Wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,"normal, fairy",140,70,45,85,50,45,10,120,"cute-charm, competitive, frisk",,,0
41,Zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,"poison, flying",40,45,35,30,40,55,8,75,"inner-focus, infiltrator",,,0
42,Golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,"poison, flying",75,80,70,65,75,90,16,550,"inner-focus, infiltrator",,,0
43,Oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,"grass, poison",45,50,55,75,65,30,5,54,"chlorophyll, run-away",,,0
44,Gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,"grass, poison",60,65,70,85,75,40,8,86,"chlorophyll, stench",,,0
45,Vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,"grass, poison",75,80,85,110,90,50,12,186,"chlorophyll, effect-spore",,,0
46,Paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,"bug, grass",35,70,55,45,55,25,3,54,"effect-spore, dry-skin, damp",,,0
47,Parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,"bug, grass",60,95,80,60,80,30,10,295,"effect-spore, dry-skin, damp",,,0
48,Venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,"bug, poison",60,55,50,40,55,45,10,300,"compound-eyes, tinted-lens, run-away",,,0
49,Venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,"bug, poison",70,65,60,90,75,90,15,125,"shield-dust, tinted-lens, wonder-skin",,,0
50,Diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,ground,10,55,25,35,45,95,2,8,"sand-veil, arena-trap, sand-force",,,0
51,Dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,ground,35,100,50,50,70,120,7,333,"sand-veil, arena-trap, sand-force",,,0
52,Meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,normal,40,45,35,40,40,90,4,42,"pickup, technician, unnerve",,,0
53,Persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,normal,65,70,60,65,65,115,10,320,"limber, technician, unnerve",,,0
54,Psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,water,50,52,48,65,50,55,8,196,"damp, cloud-nine, swift-swim",,,0
55,Golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,water,80,82,78,95,80,85,17,766,"damp, cloud-nine, swift-swim",,,0
56,Mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,fighting,40,80,35,35,45,70,5,280,"vital-spirit, anger-point, defiant",,,0
57,Primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,fighting,65,105,60,60,70,95,10,320,"vital-spirit, anger-point, defiant",,,0
58,Growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,fire,55,70,45,70,50,60,7,190,"intimidate, flash-fire, justified",,,0
59,Arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,fire,90,110,80,100,80,95,19,1550,"intimidate, flash-fire, justified",,,0
60,Poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,water,40,50,40,40,40,90,6,124,"water-absorb, damp, swift-swim",,,0
61,Poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,water,65,65,65,50,50,90,10,200,"water-absorb, damp, swift-swim",,,0
62,Poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,"water, fighting",90,95,95,70,90,70,13,540,"water-absorb, damp, swift-swim",,,0
63,Abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,psychic,25,20,15,105,55,90,9,195,"synchronize, inner-focus, magic-guard",,,0
64,Kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,psychic,40,35,30,120,70,105,13,565,"synchronize, inner-focus, magic-guard",,,0
65,Alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,psychic,55,50,45,135,95,120,15,480,"synchronize, inner-focus, magic-guard",,,0
66,Machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,fighting,70,80,50,35,35,35,8,195,"guts, no-guard, steadfast",,,0
67,Machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,fighting,80,100,70,50,60,45,15,705,"guts, no-guard, steadfast",,,0
68,Machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,fighting,90,130,80,65,85,55,16,1300,"guts, no-guard, steadfast",,,0
69,Bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,"grass, poison",50,75,35,70,30,40,7,40,"chlorophyll, gluttony",,,0
70,Weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,"grass, poison",65,90,50,85,45,55,10,64,"chlorophyll, gluttony",,,0
71,Victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,"grass, poison",80,105,65,100,70,70,17,155,"chlorophyll, gluttony",,,0
72,Tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,"water, poison",40,40,35,50,100,70,9,455,"clear-body, liquid-ooze, rain-dish",,,0
73,Tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,"water, poison",80,70,65,80,120,100,16,550,"clear-body, liquid-ooze, rain-dish",,,0
74,Geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,"rock, ground",40,80,100,30,30,20,4,200,"rock-head, sturdy, sand-veil",,,0
75,Graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,"rock, ground",55,95,115,45,45,35,10,1050,"rock-head, sturdy, sand-veil",,,0
76,Golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,"rock, ground",80,120,130,55,65,45,14,3000,"rock-head, sturdy, sand-veil",,,0
77,Ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,fire,50,85,55,65,65,90,10,300,"run-away, flash-fire, flame-body",,,0
78,Rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,fire,65,100,70,80,80,105,17,950,"run-away, flash-fire, flame-body",,,0
79,Slowpoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,"water, psychic",90,65,65,40,40,15,12,360,"oblivious, own-tempo, regenerator",,,0
80,Slowbro,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,"water, psychic",95,75,110,100,80,30,16,785,"oblivious, own-tempo, regenerator",,,0
81,Magnemite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,"electric, steel",25,35,70,95,55,45,3,60,"magnet-pull, sturdy, analytic",,,0
82,Magneton,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,"electric, steel",50,60,95,120,70,70,10,600,"magnet-pull, sturdy, analytic",,,0
83,Farfetchd,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,"normal, flying",52,90,55,58,62,60,8,150,"keen-eye, inner-focus, defiant",,,0
84,Doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,"normal, flying",35,85,45,35,35,75,14,392,"run-away, early-bird, tangled-feet",,,0
85,Dodrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,"normal, flying",60,110,70,60,60,110,18,852,"run-away, early-bird, tangled-feet",,,0
86,Seel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,water,65,45,55,45,70,45,11,900,"thick-fat, hydration, ice-body",,,0
87,Dewgong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,"water, ice",90,70,80,70,95,70,17,1200,"thick-fat, hydration, ice-body",,,0
88,Grimer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,poison,80,80,50,40,50,25,9,300,"stench, sticky-hold, poison-touch",,,0
89,Muk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,poison,105,105,75,65,100,50,12,300,"stench, sticky-hold, poison-touch",,,0
90,Shellder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,water,30,65,100,45,25,40,3,40,"shell-armor, skill-link, overcoat",,,0
91,Cloyster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,"water, ice",50,95,180,85,45,70,15,1325,"shell-armor, skill-link, overcoat",,,0
92,Gastly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,"ghost, poison",30,35,30,100,35,80,13,1,levitate,,,0
93,Haunter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,"ghost, poison",45,50,45,115,55,95,16,1,levitate,,,0
94,Gengar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,"ghost, poison",60,65,60,130,75,110,15,405,cursed-body,,,0
95,Onix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,"rock, ground",35,45,160,30,45,70,88,2100,"rock-head, sturdy, weak-armor",,,0
96,Drowzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,psychic,60,48,45,43,90,42,10,324,"insomnia, forewarn, inner-focus",,,0
97,Hypno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,psychic,85,73,70,73,115,67,16,756,"insomnia, forewarn, inner-focus",,,0
98,Krabby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,water,30,105,90,25,25,50,4,65,"hyper-cutter, shell-armor, sheer-force",,,0
99,Kingler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,water,55,130,115,50,50,75,13,600,"hyper-cutter, shell-armor, sheer-force",,,0
100,Voltorb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,electric,40,30,50,55,55,100,5,104,"soundproof, static, aftermath",,,0
101,Electrode,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,electric,60,50,70,80,80,150,12,666,"soundproof, static, aftermath",,,0
102,Exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,"grass, psychic",60,40,80,60,45,40,4,25,"chlorophyll, harvest",,,0
103,Exeggutor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,"grass, psychic",95,95,85,125,75,55,20,1200,"chlorophyll, harvest",,,0
104,Cubone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,ground,50,50,95,40,50,35,4,65,"rock-head, lightning-rod, battle-armor",,,0
105,Marowak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,ground,60,80,110,50,80,45,10,450,"rock-head, lightning-rod, battle-armor",,,0
106,Hitmonlee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,fighting,50,120,53,35,110,87,15,498,"limber, reckless, unburden",,,0
107,Hitmonchan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,fighting,50,105,79,35,110,76,14,502,"keen-eye, iron-fist, inner-focus",,,0
108,Lickitung,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,normal,90,55,75,60,75,30,12,655,"own-tempo, oblivious, cloud-nine",,,0
109,Koffing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,poison,40,65,95,60,45,35,6,10,"levitate, neutralizing-gas, stench",,,0
110,Weezing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,poison,65,90,120,85,70,60,12,95,"levitate, neutralizing-gas, stench",,,0
111,Rhyhorn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png,"ground, rock",80,85,95,30,30,25,10,1150,"lightning-rod, rock-head, reckless",,,0
112,Rhydon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,"ground, rock",105,130,120,45,45,40,19,1200,"lightning-rod, rock-head, reckless",,,0
113,Chansey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,normal,250,5,5,35,105,50,11,346,"natural-cure, serene-grace, healer",,,0
114,Tangela,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,grass,65,55,115,100,40,60,10,350,"chlorophyll, leaf-guard, regenerator",,,0
115,Kangaskhan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,normal,105,95,80,40,80,90,22,800,"early-bird, scrappy, inner-focus",,,0
116,Horsea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,water,30,40,70,70,25,60,4,80,"swift-swim, sniper, damp",,,0
117,Seadra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,water,55,65,95,95,45,85,12,250,"poison-point, sniper, damp",,,0
118,Goldeen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,water,45,67,60,35,50,63,6,150,"swift-swim, water-veil, lightning-rod",,,0
119,Seaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png,water,80,92,65,65,80,68,13,390,"swift-swim, water-veil, lightning-rod",,,0
120,Staryu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png,water,30,45,55,70,55,85,8,345,"illuminate, natural-cure, analytic",,,0
121,Starmie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png,"water, psychic",60,75,85,100,85,115,11,800,"illuminate, natural-cure, analytic",,,0
122,Mr-mime,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png,"psychic, fairy",40,45,65,100,120,90,13,545,"soundproof, filter, technician",,,0
123,Scyther,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png,"bug, flying",70,110,80,55,80,105,15,560,"swarm, technician, steadfast",,,0
124,Jynx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png,"ice, psychic",65,50,35,115,95,95,14,406,"oblivious, forewarn, dry-skin",,,0
125,Electabuzz,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png,electric,65,83,57,95,85,105,11,300,"static, vital-spirit",,,0
126,Magmar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png,fire,65,95,57,100,85,93,13,445,"flame-body, vital-spirit",,,0
127,Pinsir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png,bug,65,125,100,55,70,85,15,550,"hyper-cutter, mold-breaker, moxie",,,0
128,Tauros,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png,normal,75,100,95,40,70,110,14,884,"intimidate, anger-point, sheer-force",,,0
129,Magikarp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png,water,20,10,55,15,20,80,9,100,"swift-swim, rattled",,,0
130,Gyarados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png,"water, flying",95,125,79,60,100,81,65,2350,"intimidate, moxie",,,0
131,Lapras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png,"water, ice",130,85,80,85,95,60,25,2200,"water-absorb, shell-armor, hydration",,,0
132,Ditto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png,normal,48,48,48,48,48,48,3,40,"limber, imposter",,,0
133,Eevee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png,normal,55,55,50,45,65,55,3,65,"run-away, adaptability, anticipation",,,0
134,Vaporeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png,water,130,65,60,110,95,65,10,290,"water-absorb, hydration",,,0
135,Jolteon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png,electric,65,65,60,110,95,130,8,245,"volt-absorb, quick-feet",,,0
136,Flareon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png,fire,65,130,60,95,110,65,9,250,"flash-fire, guts",,,0
137,Porygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png,normal,65,60,70,85,75,40,8,365,"trace, download, analytic",,,0
138,Omanyte,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png,"rock, water",35,40,100,90,55,35,4,75,"swift-swim, shell-armor, weak-armor",,,0
139,Omastar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png,"rock, water",70,60,125,115,70,55,10,350,"swift-swim, shell-armor, weak-armor",,,0
140,Kabuto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png,"rock, water",30,80,90,55,45,55,5,115,"swift-swim, battle-armor, weak-armor",,,0
141,Kabutops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png,"rock, water",60,115,105,65,70,80,13,405,"swift-swim, battle-armor, weak-armor",,,0
142,Aerodactyl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png,"rock, flying",80,105,65,60,75,130,18,590,"rock-head, pressure, unnerve",,,0
143,Snorlax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png,normal,160,110,65,65,110,30,21,4600,"immunity, thick-fat, gluttony",,,0
144,Articuno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png,"ice, flying",90,85,100,95,125,85,17,554,"pressure, snow-cloak",,,0
145,Zapdos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png,"electric, flying",90,90,85,125,90,100,16,526,"pressure, static",,,0
